Date,Region,Event,Filter,Source
2020-03-09,Stockholm,First case of community transmission,Critical cases,https://www.corren.se/nyheter/tidslinje-coronautbrottet-dag-for-dag-om6506361.aspx
2020-03-10,National,Government: Avoid travelling to Italy (recommendation).,Travel regulations,https://www.regeringen.se/uds-reseinformation/ud-avrader/italien---avradan/
2020-03-11,National,Government: Public meetings with more than 500 people banned (Ban).,Travel regulations,https://www.svt.se/nyheter/snabbkollen/regeringen-stoppar-stora-moten
2020-03-11,National,Government: Paid first day of sick leave (removal of karensdag),Economic aid,https://www.regeringen.se/pressmeddelanden/2020/03/tillfalligt-slopat-karensavdrag/
2020-03-14,National,Government: Avoid all international travel (recommendation).,Travel regulations,https://www.krisinformation.se/nyheter/2020/mars/tank-over-om-resan-ar-nodvandig
2020-03-17,National,Government: Travel from non-EU/EES member states banned (Ban),Travel regulations,https://www.regeringen.se/artiklar/2020/03/fragor-och-svar--inresestopp-till-eu-via-sverige/
2020-03-19,National ,Government: Avoid unnecessary travel within Sweden ,Travel regulations,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/mars/tank-over-om-resan-verkligen-ar-nodvandig/
2020-03-24,National,Government: Restaurants and bars are restricted to mainly table service ,Travel regulations,https://www.svt.se/nyheter/inrikes/nya-forbudet-endast-bordsservering-tillats-pa-restauranger-och-barer
2020-03-27,National,Government: Avoid private meetings with more than 50 people (recommendation).<br> Government: Public meetings with more than 50 people banned (Ban).,Travel regulations,https://sverigesradio.se/sida/artikel.aspx?programid=493&artikel=7440340
